RSI_저점,RSI_고점,과매도_목표,과열_목표,학습_CAGR,학습_MDD,검증_CAGR,검증_MDD,전체_CAGR,전체_MDD,안정점수
30,65,0.04,0.023,35.146676894752744,-41.220879173534605,41.08941717496478,-39.87713791570319,37.40168451845486,-41.220879173534605,18.63941008594142
35,65,0.035,0.023,35.15845770277977,-41.099567618396705,41.256233428392875,-39.894776499534636,37.464394839813906,-41.099567618396705,18.63938753237634
35,65,0.032,0.023,35.077283330275236,-41.112941191522445,41.0463761587672,-39.90154523540631,37.33676231199621,-41.112941191522445,18.598571423270194
30,65,0.04,0.02,34.72600706682732,-41.232113965631925,39.663282438853145,-39.813344584663,36.59405706622664,-41.232113965631925,18.56672079864711
35,65,0.035,0.02,34.734720288068075,-41.11312963611348,39.85728130425946,-39.84979011002206,36.653067123918504,-41.11312963611348,18.552228559761375
30,65,0.045,0.023,35.017780234389846,-41.001251603341736,41.08941717496478,-39.87713791570319,37.31804548867967,-41.001251603341736,18.542269244019014
35,65,0.032,0.02,34.65481243946189,-41.11611669601552,39.65021865949606,-39.83941045443752,36.52712320821209,-41.11611669601552,18.515779418844502
30,65,0.035,0.023,35.05425408887976,-41.23302505310835,41.08956205624631,-39.876708447188946,37.34398133196629,-41.23302505310835,18.510337531713546
30,65,0.045,0.02,34.59330142328588,-41.00880819434356,39.663282438853145,-39.813344584663,36.508034984443555,-41.00880819434356,18.465725199817093
30,65,0.035,0.02,34.63307742402202,-41.23686878855269,39.663434219803975,-39.81291015067928,36.53365233706168,-41.23686878855269,18.439548469504892
30,65,0.032,0.023,34.840172234048396,-41.23109628680215,40.89919979124977,-39.86636814706884,37.12887325587849,-41.23109628680215,18.288628888647164
35,70,0.045,0.025,34.391767252880896,-39.892395911665545,40.55751799096163,-39.88963777082183,36.716688674063334,-39.97310129328541,18.271415925469704
25,65,0.035,0.023,34.76786248350871,-41.247911910134775,40.7938928430132,-39.830111601626314,37.04884962296805,-41.247911910134775,18.221982689134965
25,65,0.032,0.023,34.76786056740269,-41.24792150611647,40.7938928430132,-39.830111601626314,37.04884944079174,-41.24792150611647,18.221976743798255
25,65,0.04,0.023,34.76503725944187,-41.24935211466325,40.7938928430132,-39.830111601626314,37.04823401291105,-41.24935211466325,18.217664565059767
30,65,0.032,0.02,34.42754237302594,-41.24156667366743,39.518200063209264,-39.86581573790264,36.32658087264804,-41.24156667366743,18.211263845678182
25,65,0.032,0.02,34.34772587730089,-41.25017854993467,39.40375150759371,-39.842116877398496,36.24423709616619,-41.25017854993467,18.140554414221267
25,65,0.035,0.02,34.347575784570665,-41.25019741368946,39.40375150759371,-39.842116877398496,36.243823434927435,-41.25019741368946,18.140345186721287
25,65,0.04,0.02,34.345866606882936,-41.25577785303317,39.40375150759371,-39.842116877398496,36.24303083171978,-41.25577785303317,18.136084643072557
35,75,0.045,0.025,34.27966655129313,-39.889596915378554,40.961651063025926,-39.89203195286739,36.78012615478946,-39.9757329462107,17.978760788683072
25,65,0.045,0.023,34.579166814341534,-41.24578710063679,40.7938928430132,-39.830111601626314,36.92858609560349,-41.24578710063679,17.967987219083575
35,65,0.045,0.027,34.281040847785675,-39.88896579517217,41.20126778434454,-39.865278068735996,36.86777375508177,-39.97435252467457,17.897823391679815
35,70,0.045,0.027,34.281040847785675,-39.88896579517217,41.20126778434454,-39.865278068735996,36.86777375508177,-39.97435252467457,17.897823391679815
35,75,0.045,0.027,34.281040847785675,-39.88896579517217,41.20126778434454,-39.865278068735996,36.86777375508177,-39.97435252467457,17.897823391679815
25,65,0.045,0.02,34.1614968617975,-41.25680638466081,39.40375150759371,-39.842116877398496,36.1245994742882,-41.25680638466081,17.886825501137544
35,75,0.045,0.023,34.13860512518855,-39.892554117179415,40.93838084279665,-39.87826950130923,36.68931564361705,-39.97342050629082,17.79628968301292
35,75,0.045,0.02,34.00289026727893,-39.887742611346674,40.59706374175599,-39.885173784561125,36.472001034779424,-39.97266361189453,17.73421963724062
35,65,0.045,0.023,33.68440060677929,-41.99238441008827,41.981961362413244,-39.8826673045219,36.73254497574311,-41.99238441008827,16.082919798776516
35,65,0.045,0.02,33.272159488608025,-41.97355392877689,40.540980716463395,-39.85007008072123,35.930899995771284,-41.97355392877689,16.037328183786737
